 male Agent 
x = X, y = Y, z = Z, h = holdingStatus, pi = PickupIndex, di = DropOffIndex
       states                       actions                 
 x, y, z,  h,   pi, di     North      East     South      west        Up      Down
(0, 0, 0, False, 0, 0)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 1)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 2)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 3)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 4)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 5)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 6)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 7)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 8)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 9)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 10)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 11)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 12)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 13)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 14)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 0, 15)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 0)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 1)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 2)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 3)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 4)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 5)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 6)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 7)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 8)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 9)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 10)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 11)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 12)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 13)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 14)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 1, 15)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 0)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 1)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 2)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 3)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 4)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 5)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 6)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 7)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 8)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 9)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 10)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 11)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 12)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 13)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 14)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 2, 15)     3.056     0.900     0.000     0.000     0.000     0.000
(0, 0, 0, False, 3, 0)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 1)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 2)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 3)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 4)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 5)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 6)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 7)     3.462     5.485     0.000     0.000     0.949     0.000
(0, 0, 0, False, 3, 8)     3.462     5.485     0.000     0.000     0.949     0.000
